City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,14.31,84,100,4.7,CL,1701038800
1,chernyshevskiy,63.0128,112.4714,-21.59,98,94,1.78,RU,1701038740
2,kodiak,57.79,-152.4072,2.73,93,100,2.06,US,1701038933
3,pierre,44.3683,-100.351,1.51,43,0,10.29,US,1701038933
4,stanley,54.868,-1.6985,3.62,93,75,1.03,GB,1701038933
5,vila franca do campo,37.7167,-25.4333,20.23,99,91,8.25,PT,1701038933
6,blackmans bay,-43.0167,147.3167,10.96,74,96,0.89,AU,1701038934
7,kingsland,30.8,-81.6898,16.06,95,100,2.44,US,1701038702
8,port-aux-francais,-49.35,70.2167,3.51,75,100,7.04,TF,1701038934
9,edinburgh of the seven seas,-37.0676,-12.3116,12.85,67,10,13.95,SH,1701038934
10,puerto ayora,-0.7393,-90.3518,29.98,88,66,3.13,EC,1701038935
11,bethel,41.3712,-73.414,9.25,81,100,3.6,US,1701038935
12,hawaiian paradise park,19.5933,-154.9731,26.6,77,40,2.57,US,1701038935
13,mount gambier,-37.8333,140.7667,14.09,64,100,4.26,AU,1701038748
14,bang mun nak,16.0278,100.3792,26.1,99,86,1.28,TH,1701038936
15,nykvarn,59.8,18.3,-3.2,98,85,1.41,SE,1701038936
16,olonkinbyen,70.9221,-8.7187,1.07,87,82,7.77,SJ,1701038936
17,adamstown,-25.066,-130.1015,21.28,86,100,12.54,PN,1701038936
18,kolwezi,-10.7148,25.4667,16.3,97,100,1.49,CD,1701038936
19,tete,-16.1564,33.5867,31.05,42,20,3.6,MZ,1701038639
20,iqaluit,63.7506,-68.5145,-12.15,72,75,1.54,CA,1701038937
21,college,64.8569,-147.8028,-4.19,90,75,1.54,US,1701038937
22,leava,-14.3,-178.1667,28.86,77,86,5.98,WF,1701038937
23,luderitz,-26.6481,15.1594,20.57,52,0,8.84,NA,1701038938
24,puerto natales,-51.7236,-72.4875,11.25,46,75,8.23,CL,1701038786
25,grytviken,-54.2811,-36.5092,3.97,95,100,3.9,GS,1701038938
26,ponta delgada,37.7333,-25.6667,20.4,94,75,7.2,PT,1701038938
27,waitangi,-43.9535,-176.5597,16.57,94,70,3.13,NZ,1701038938
28,trujillo,-8.116,-79.03,20.98,78,75,5.66,PE,1701038726
29,tromso,69.6496,18.957,-3.99,93,75,2.06,NO,1701038939
30,mariakani,-3.8633,39.4736,22.6,97,100,1.4,KE,1701038939
31,nar'yan-mar,67.6713,53.087,-19.23,99,84,3.06,RU,1701038939
32,papatowai,-46.5619,169.4708,14.07,70,99,2.14,NZ,1701038940
33,albany,42.6001,-73.9662,5.33,71,99,1.34,US,1701038769
34,port elizabeth,-33.918,25.5701,20.73,86,0,1.54,ZA,1701038940
35,bredasdorp,-34.5322,20.0403,16.3,80,14,1.14,ZA,1701038940
36,sheridan,44.8333,-106.9173,3.21,60,100,4.12,US,1701038940
37,kapa'a,22.0752,-159.319,27.99,81,20,7.72,US,1701038941
38,kristinestad,62.2743,21.376,-10.12,92,79,4.11,FI,1701038941
39,ushuaia,-54.8,-68.3,7.81,61,75,9.77,AR,1701038816
40,jamestown,42.097,-79.2353,5.57,72,100,4.12,US,1701038868
41,arambagh,22.8833,87.7833,18.52,69,4,1.9,IN,1701038942
42,port alfred,-33.5906,26.891,19.54,98,16,1.57,ZA,1701038942
43,kayar,14.9192,-17.1211,25.11,67,0,4.77,SN,1701038942
44,la ronge,55.1001,-105.2842,-12.86,72,100,3.6,CA,1701038707
45,qaqortoq,60.7167,-46.0333,-5.65,93,100,1.77,GL,1701038943
46,wailua homesteads,22.0669,-159.378,27.24,81,20,7.72,US,1701038943
47,nevel'sk,46.6733,141.8633,-3.56,58,81,6.39,RU,1701038944
48,kone,-21.0595,164.8658,27.58,52,100,1.42,NC,1701038944
49,kalabo,-14.97,22.6814,22.59,72,99,1.72,ZM,1701038944
50,whitehorse,60.7161,-135.0538,5.05,81,75,4.63,CA,1701038655
51,tolanaro,-25.0319,46.9987,25.04,83,20,6.17,MG,1701038791
52,ilulissat,69.2167,-51.1,-0.99,93,100,2.06,GL,1701038945
53,enewetak,11.3474,162.3373,28.03,79,73,9.68,MH,1701038945
54,longyearbyen,78.2186,15.6401,0.91,80,40,6.17,SJ,1701038945
55,aktau,43.65,51.2,9.32,84,0,6.4,KZ,1701038945
56,saint-joseph,-21.3667,55.6167,22.21,75,29,1.97,RE,1701038946
57,thompson,55.7435,-97.8558,-16.91,71,75,3.6,CA,1701038946
58,carnarvon,-24.8667,113.6333,22.08,66,70,4.95,AU,1701038946
59,mukalla,14.5425,49.1242,25.05,68,43,0.48,YE,1701038946
60,puerto aysen,-45.4,-72.7,13.89,64,81,1.16,CL,1701038947
61,dzuunmod,48.2199,97.3744,-14.28,84,42,3.47,MN,1701038947
62,myeik,12.4333,98.6,24.56,81,75,2.32,MM,1701038947
